subject,backbone,pipeline,fold,accuracy,auc,mean_accuracy,mean_auc,std_accuracy,p_empirical,p_vs_chance_method,pooled_test_correct,pooled_test_total,alpha_ratio,beta_ratio,lateralization_index
3,csp,asr,0,0.4652777777777778,0.4736033950617284,0.4880555555555556,0.4850848765432099,0.016827923589845493,0.9264758994775413,binomial,1757,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,csp,asr,1,0.5083333333333333,0.5005324074074075,0.4880555555555556,0.4850848765432099,0.016827923589845493,0.9264758994775413,binomial,1757,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,csp,asr,2,0.49166666666666664,0.47628086419753085,0.4880555555555556,0.4850848765432099,0.016827923589845493,0.9264758994775413,binomial,1757,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,csp,asr,3,0.49722222222222223,0.4986882716049383,0.4880555555555556,0.4850848765432099,0.016827923589845493,0.9264758994775413,binomial,1757,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,csp,asr,4,0.4777777777777778,0.4763194444444444,0.4880555555555556,0.4850848765432099,0.016827923589845493,0.9264758994775413,binomial,1757,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,tangent,asr,0,0.49583333333333335,0.49844135802469136,0.5016666666666667,0.5017816358024692,0.0060858061945018235,0.42726985023054004,binomial,1806,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,tangent,asr,1,0.5097222222222222,0.5102932098765433,0.5016666666666667,0.5017816358024692,0.0060858061945018235,0.42726985023054004,binomial,1806,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,tangent,asr,2,0.5013888888888889,0.504945987654321,0.5016666666666667,0.5017816358024692,0.0060858061945018235,0.42726985023054004,binomial,1806,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,tangent,asr,3,0.49583333333333335,0.490354938271605,0.5016666666666667,0.5017816358024692,0.0060858061945018235,0.42726985023054004,binomial,1806,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,tangent,asr,4,0.5055555555555555,0.5048726851851851,0.5016666666666667,0.5017816358024692,0.0060858061945018235,0.42726985023054004,binomial,1806,3600,0.8609583544095363,0.8233735170689963,-0.0055106175762411015
3,csp,icalabel,0,0.5083333333333333,0.5220061728395061,0.5172222222222221,0.5251111111111111,0.006704176881192905,0.020174799090561957,binomial,1862,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
3,csp,icalabel,1,0.5208333333333334,0.5225694444444444,0.5172222222222221,0.5251111111111111,0.006704176881192905,0.020174799090561957,binomial,1862,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
3,csp,icalabel,2,0.525,0.5394367283950617,0.5172222222222221,0.5251111111111111,0.006704176881192905,0.020174799090561957,binomial,1862,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
3,csp,icalabel,3,0.5125,0.5315663580246913,0.5172222222222221,0.5251111111111111,0.006704176881192905,0.020174799090561957,binomial,1862,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
3,csp,icalabel,4,0.5194444444444445,0.5099768518518519,0.5172222222222221,0.5251111111111111,0.006704176881192905,0.020174799090561957,binomial,1862,3600,0.24176879011435268,1.2113399255726114,-0.00018031611600438028
